34543,-175.263E-3,+0.84291E+0,131.1155
34542,-175.256E-3,+0.84291E+0,131.1155
34541,-175.256E-3,+0.84291E+0,131.1155
34540,-175.262E-3,+0.84290E+0,131.1192
34539,-175.252E-3,+0.84293E+0,131.1080
34538,-175.262E-3,+0.84291E+0,131.1155
34537,-175.256E-3,+0.84293E+0,131.1080
34536,-175.258E-3,+0.84292E+0,131.1117
34535,-175.258E-3,+0.84292E+0,131.1117
34534,-175.262E-3,+0.84290E+0,131.1192
34533,-175.260E-3,+0.84291E+0,131.1155
34532,-175.267E-3,+0.84291E+0,131.1155
34531,-175.261E-3,+0.84292E+0,131.1117
34530,-175.267E-3,+0.84292E+0,131.1117
34529,-175.249E-3,+0.84292E+0,131.1117
34528,-175.258E-3,+0.84290E+0,131.1192
34527,-175.260E-3,+0.84293E+0,131.1080
34526,-175.254E-3,+0.84292E+0,131.1117
34525,-175.251E-3,+0.84292E+0,131.1117
34524,-175.256E-3,+0.84290E+0,131.1192
34523,-175.257E-3,+0.84291E+0,131.1155
34522,-175.258E-3,+0.84291E+0,131.1155
34521,-175.262E-3,+0.84292E+0,131.1117
34520,-175.262E-3,+0.84291E+0,131.1155
34519,-175.262E-3,+0.84291E+0,131.1155
34518,-175.263E-3,+0.84293E+0,131.1080
34517,-175.263E-3,+0.84293E+0,131.1080
34516,-175.254E-3,+0.84291E+0,131.1155
34515,-175.260E-3,+0.84290E+0,131.1192
34514,-175.254E-3,+0.84290E+0,131.1192
34513,-175.250E-3,+0.84291E+0,131.1155
34512,-175.260E-3,+0.84291E+0,131.1155
34511,-175.255E-3,+0.84290E+0,131.1192
34510,-175.254E-3,+0.84293E+0,131.1080
34509,-175.258E-3,+0.84291E+0,131.1155
34508,-175.259E-3,+0.84291E+0,131.1155
34507,-175.251E-3,+0.84290E+0,131.1192
34506,-175.258E-3,+0.84292E+0,131.1117
34505,-175.262E-3,+0.84293E+0,131.1080
34504,-175.258E-3,+0.84292E+0,131.1117
34503,-175.260E-3,+0.84290E+0,131.1192
34502,-175.261E-3,+0.84291E+0,131.1155
34501,-175.262E-3,+0.84293E+0,131.1080
34500,-175.257E-3,+0.84291E+0,131.1155
34499,-175.258E-3,+0.84291E+0,131.1155
34498,-175.251E-3,+0.84291E+0,131.1155
34497,-175.265E-3,+0.84291E+0,131.1155
34496,-175.256E-3,+0.84291E+0,131.1155
34495,-175.261E-3,+0.84292E+0,131.1117
34494,-175.263E-3,+0.84292E+0,131.1117
34493,-175.266E-3,+0.84291E+0,131.1155
34492,-175.254E-3,+0.84291E+0,131.1155
34491,-175.257E-3,+0.84292E+0,131.1117
34490,-175.264E-3,+0.84290E+0,131.1192
34489,-175.257E-3,+0.84288E+0,131.1266
34488,-175.260E-3,+0.84291E+0,131.1155
34487,-175.260E-3,+0.84292E+0,131.1117
34486,-175.264E-3,+0.84292E+0,131.1117
34485,-175.265E-3,+0.84292E+0,131.1117
34484,-175.263E-3,+0.84290E+0,131.1192
34483,-175.260E-3,+0.84290E+0,131.1192
34482,-175.257E-3,+0.84291E+0,131.1155
34481,-175.265E-3,+0.84290E+0,131.1192
34480,-175.261E-3,+0.84291E+0,131.1155
34479,-175.262E-3,+0.84292E+0,131.1117
34478,-175.265E-3,+0.84292E+0,131.1117
34477,-175.260E-3,+0.84293E+0,131.1080
34476,-175.256E-3,+0.84290E+0,131.1192
34475,-175.267E-3,+0.84291E+0,131.1155
34474,-175.261E-3,+0.84290E+0,131.1192
34473,-175.255E-3,+0.84290E+0,131.1192
34472,-175.257E-3,+0.84292E+0,131.1117
34471,-175.262E-3,+0.84292E+0,131.1117
34470,-175.256E-3,+0.84293E+0,131.1080
34469,-175.254E-3,+0.84292E+0,131.1117
34468,-175.256E-3,+0.84292E+0,131.1117
34467,-175.259E-3,+0.84290E+0,131.1192
34466,-175.260E-3,+0.84291E+0,131.1155
34465,-175.262E-3,+0.84291E+0,131.1155
34464,-175.258E-3,+0.84293E+0,131.1080
34463,-175.269E-3,+0.84293E+0,131.1080
34462,-175.254E-3,+0.84294E+0,131.1043
34461,-175.266E-3,+0.84292E+0,131.1117
34460,-175.264E-3,+0.84290E+0,131.1192
34459,-175.261E-3,+0.84292E+0,131.1117
34458,-175.259E-3,+0.84291E+0,131.1155
34457,-175.253E-3,+0.84291E+0,131.1155
34456,-175.268E-3,+0.84291E+0,131.1155
34455,-175.261E-3,+0.84292E+0,131.1117
34454,-175.262E-3,+0.84290E+0,131.1192
34453,-175.259E-3,+0.84292E+0,131.1117
34452,-175.266E-3,+0.84290E+0,131.1192
34451,-175.259E-3,+0.84290E+0,131.1192
34450,-175.260E-3,+0.84290E+0,131.1192
34449,-175.259E-3,+0.84288E+0,131.1266
34448,-175.253E-3,+0.84293E+0,131.1080
34447,-175.270E-3,+0.84293E+0,131.1080
34446,-175.261E-3,+0.84291E+0,131.1155
34445,-175.256E-3,+0.84291E+0,131.1155
34444,-175.251E-3,+0.84293E+0,131.1080
34443,-175.259E-3,+0.84292E+0,131.1117
34442,-175.254E-3,+0.84291E+0,131.1155
34441,-175.260E-3,+0.84292E+0,131.1117
34440,-175.256E-3,+0.84290E+0,131.1192
34439,-175.258E-3,+0.84291E+0,131.1155
34438,-175.261E-3,+0.84290E+0,131.1192
34437,-175.263E-3,+0.84291E+0,131.1155
34436,-175.260E-3,+0.84291E+0,131.1155
34435,-175.259E-3,+0.84291E+0,131.1155
34434,-175.262E-3,+0.84291E+0,131.1155
34433,-175.264E-3,+0.84291E+0,131.1155
34432,-175.257E-3,+0.84291E+0,131.1155
34431,-175.268E-3,+0.84291E+0,131.1155
34430,-175.255E-3,+0.84291E+0,131.1155
34429,-175.262E-3,+0.84291E+0,131.1155
34428,-175.260E-3,+0.84293E+0,131.1080
34427,-175.251E-3,+0.84291E+0,131.1155
34426,-175.260E-3,+0.84291E+0,131.1155
34425,-175.262E-3,+0.84290E+0,131.1192
34424,-175.259E-3,+0.84292E+0,131.1117
34423,-175.254E-3,+0.84292E+0,131.1117
34422,-175.263E-3,+0.84292E+0,131.1117
34421,-175.263E-3,+0.84290E+0,131.1192
34420,-175.261E-3,+0.84291E+0,131.1155
34419,-175.261E-3,+0.84291E+0,131.1155
34418,-175.256E-3,+0.84293E+0,131.1080
34417,-175.259E-3,+0.84291E+0,131.1155
34416,-175.260E-3,+0.84290E+0,131.1192
34415,-175.255E-3,+0.84291E+0,131.1155
34414,-175.258E-3,+0.84290E+0,131.1192
34413,-175.259E-3,+0.84291E+0,131.1155
34412,-175.262E-3,+0.84292E+0,131.1117
34411,-175.262E-3,+0.84291E+0,131.1155
34410,-175.255E-3,+0.84291E+0,131.1155
34409,-175.260E-3,+0.84293E+0,131.1080
34408,-175.270E-3,+0.84291E+0,131.1155
34407,-175.263E-3,+0.84291E+0,131.1155
34406,-175.249E-3,+0.84288E+0,131.1266
